fecha;PM2,5;PM10;SO2;NO2;NOX;NO;CO;O3;Radiación Global;Presión Atmosférica;Precipitaciones;H(%);T°;Dirección del Viento;Velocidad del Viento;nombre_estacion;rango;ica;episodio;temperatura;humedad;presion;viento
2019/05/03 08:00:00.000;12;6;;12.1;33.6;;0.1;;;998;0;98.7;14;42.8;3;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;93.7;1007;11.1
2019/05/03 08:00:00.000;4;9;;;;;3.1;;;1001;0.2;100;13.5;53.3;0.8;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;93.7;1007;11.1
2019/05/03 09:00:00.000;;8;;;;;;;55;995.9;0;0.8;14.7;74.9;2.9;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1007;18.5
2019/05/03 09:00:00.000;14;21;;28.5;46.5;;0.1;;;998;0;96.7;14.2;39.9;3.3;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1007;18.5
2019/05/03 09:00:00.000;4;11;;;;;3.1;;;1001;0;100;13.6;32.5;2;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1007;18.5
2019/05/03 10:00:00.000;1;12;;;;;;;49.6;995.2;0;0.8;14.5;73.6;2.1;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;14.8
2019/05/03 10:00:00.000;20;23;;14.2;24.9;;0.1;;;998;0;94.1;13.9;40.6;3.8;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;14.8
2019/05/03 10:00:00.000;5;5;;;;;1.7;;;1000.4;0;100;13.6;37.3;1.7;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;14.8
2019/05/03 11:00:00.000;1;15;;;;;;;71.2;995.3;0;0.8;14.7;75;1.9;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;16.7
2019/05/03 11:00:00.000;18;23;;14.6;24.5;;0.1;;;998;0;92.3;14.1;35.4;3.5;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;16.7
2019/05/03 11:00:00.000;6;6;;;;;0.5;;;1000.8;0;100;13.6;44.4;1.2;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;16.7
2019/05/03 12:00:00.000;1;10;;;;;;;60.2;995.1;0.1;0.8;14.7;51.1;0.8;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;11.1
2019/05/03 12:00:00.000;28;35;;13.2;22.8;;0.2;;;998;0;92.4;14.2;40.9;3;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;11.1
2019/05/03 12:00:00.000;7;11;;;;;0.4;;;1000.6;0.1;100;13.9;18.3;1.8;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;11.1
2019/05/03 13:00:00.000;1;9;;;;;;;115.7;994.7;0;0.8;15;64.5;1.3;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;14.8
2019/05/03 13:00:00.000;25;24;;15.6;27.7;;0.2;;;997.1;0;90.1;14.5;41.8;3.4;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;14.8
2019/05/03 13:00:00.000;5;10;;;;;0.2;;;999.8;0;96.8;14.6;12.9;2.6;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;14.8
2019/05/03 14:00:00.000;1;8;;;;;;;146.8;994.1;0;0.8;15.9;70.4;1.9;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;14.8
2019/05/03 14:00:00.000;20;19;;9.3;16.1;;0.1;;;997;0;84.4;15.7;49.3;4.2;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;14.8
2019/05/03 14:00:00.000;4;7;;;;;0.1;;;999;0;86;16.6;15.6;2.8;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;100;1008;14.8
2019/05/03 15:00:00.000;6;14;;;;;;;100.4;994;0.1;0.8;15.9;75.1;3.6;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;14;93.7;1008;24.1
